Record,GL_Weight_Premium,GL_Indicated_Premium_Scale_Score,GL_Exposure_Size_Scale_Score,GL_YuM_Scale_Score,GL_OSHA_Scale_Score,GL_Teiring_Industry_Scale_Score,GL_Hazard_Class_Scale_Score,GL_Estimated_Premium_Points,GL_Exposure_Size_Points,GL_YuM_Points,GL_OSHA_Points,GL_Teiring_Industry_Points,GL_Hazard_Class_Points,Property_Weight_Premium,Property_TIV_Size_Scale_Score,Property_Estimated_Premium_Scale_Score,Property_TIV_Dispersion_Scale_Score,Property_YuM_Scale_Score,Property_Construction_Grade_Scale_Score,Property_Poor_Construction_Scale_Score,Property_PPC_Factor_Scale_Score,Property_Poor_PPC_Scale_Score,Property_Average_Age_Scale_Score,Property_Hurricane_Premium_Scale_Score,Property_Hurricane_Dispersion_Scale_Score,Property_BG2_Symbol_Scale_Score,Property_Flood_Premium_Scale_Score,Property_Fllod_Dispersion_Scale_Score,Property_Bad_Flood_Terr_(A&V)_Scale_Score,Property_Average_Crime_Scale_Score,Property_Poor_Crime_Terr_Scale_Score,Property_TIV_Size_Points,Property_Indicated_Premium_Points,Property_TIV_Dispersion_Points,Property_YuM_Points,Property_Construction_Grade_Points,Property_Poor_Construction_(1&2)_Points,Property_PPC_Factor_Points,Property_Poor_PPC_(8+)_Points,Property_Average_Age_Points,Property_Hurricane_Premium_Points,Property_Hurricane_Dispersion_Points,Property_BG2_Points,Property_Flood_Premium_Points,Property_Fllod_Dispersion_Points,Property_Bad_Flood_Terr_(A&V)_Points,Property_Average_Crime_Points,Property_Poor_Crime_Terr_(150+)_Points,Auto_Weight_Premium,Auto_Indicated_Single_Vihicle_Premium_Scale_Score,Auto_Indicated_Total_Premium_Scale_Score,Auto_NAICS_Factor_Scale_Score,Auto_Primary_Factor_Scale_Score,Auto_Crashes_Scale_Score,Auto_Indicated_Single_Vihicle_Premium_Points,Auto_Indicated_Total_Premium_Points,Auto_NAICS_Factor_Points,Auto_Primary_Factor_Points,Auto_Crashes_Points
1,"16,267",28,29,0,0,10,10,2,2,1,,1,1,"41,115",47,56,100,0,74,98,23,0,47,33,100,10,38,100,,37,0,3,3,5,1,4,5,2,1,3,2,5,1,2,5,,2,1,"90,230",97,98,98,96,90,5,5,5,5,4
2,"24,951",39,8,0,0,10,10,3,1,1,,1,1,"1,609",6,3,100,0,50,0,26,0,,0,100,10,3,95,,7,0,1,1,5,1,3,1,2,1,,1,5,1,1,5,,1,1,"2,454",63,10,67,77,,3,1,3,3,
3,"2,701",5,26,0,0,35,10,1,2,1,,2,1,"25,135",66,40,44,0,12,0,13,0,19,44,45,49,20,100,,25,0,3,3,3,1,1,1,2,1,2,3,3,3,2,5,,2,1,891,61,,17,61,,3,,2,3,
4,"12,363",,,0,0,35,10,,,1,,2,1,"37,088",89,52,97,0,2,0,25,0,3,0,,10,40,54,,40,0,4,3,5,1,1,1,2,1,1,1,,1,3,3,,3,1,"4,080",59,,10,78,,3,,1,3,
5,973,2,4,51,0,35,10,1,1,3,,2,1,"3,724",13,7,100,51,12,0,13,0,4,9,100,10,4,100,,79,0,2,1,5,3,1,1,2,1,1,1,5,1,1,5,,3,1,321,58,,21,51,,3,,2,3,
6,"2,684",5,3,10,0,10,10,1,1,1,,1,1,"10,164",12,18,100,10,50,0,82,100,,1,100,10,5,100,,37,0,1,2,5,1,3,1,4,5,,1,5,1,1,5,,2,1,671,34,,61,13,,2,,3,2,
7,203,0,0,,0,35,10,1,1,,,2,1,"18,679",47,31,100,,100,98,26,0,47,11,100,10,23,100,,44,0,3,2,5,,5,5,2,1,3,1,5,1,2,5,,3,1,67,80,,8,83,,3,,1,4,
8,"3,109",6,11,,0,10,10,1,1,,,1,1,"8,417",22,15,80,,22,35,24,0,24,0,,10,10,79,,23,0,2,2,3,,2,2,2,1,2,1,,1,1,3,,2,1,777,48,,71,43,,3,,3,3,
9,"1,642",3,11,10,0,35,10,1,1,1,,2,1,"118,431",91,91,5,10,41,0,26,0,25,53,5,39,56,9,,63,0,4,4,1,1,3,1,2,1,2,3,1,3,3,1,,3,1,542,66,,17,59,,3,,2,3,
10,"36,084",51,53,,0,35,10,3,3,,,2,1,"53,024",89,65,13,,12,0,25,0,48,72,12,10,52,9,,49,0,4,3,2,,1,1,2,1,3,3,1,1,3,1,,3,1,"11,908",,,52,50,,,,3,3,
